source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.09797668, 40.7630043)", ,42.58000,49.760, , ,,,"(-73.09797668, 40.7630043):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.10137177, 40.81260681)", ,45.02000,51.880, , ,,,"(-73.10137177, 40.81260681):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.12759399, 40.91742706)","(-73.97776031, 40.76578522)",50.29000,64.210,18.17000,26.950,50.27500,82.630,Matched
"(-73.785924, 40.645134)","(-73.12931824, 40.89556885)","(-73.90630341, 40.77048874)",47.83000,60.360,13.74000,18.960,43.92000,68.190,Matched
"(-73.785924, 40.645134)","(-73.38665771, 40.80632019)", ,31.21000,40.260, , ,,,"(-73.38665771, 40.80632019):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.41590881, 40.72058868)", ,24.84000,28.620, , ,,,"(-73.41590881, 40.72058868):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.42198944, 40.78373718)", ,28.64000,35.270, , ,,,"(-73.42198944, 40.78373718):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.42202759, 40.78378296)", ,28.64000,35.270, , ,,,"(-73.42202759, 40.78378296):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.42443085, 40.69881058)", ,23.57000,27.760, , ,,,"(-73.42443085, 40.69881058):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.42756653, 40.76335144)","(-73.79295349, 40.7164917)",26.44000,32.440,8.11000,12.290,24.33000,37.920,Matched
"(-73.785924, 40.645134)","(-73.46509552, 40.68829727)", ,19.88000,25.830, , ,,,"(-73.46509552, 40.68829727):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.46699524, 40.7964592)", ,27.75000,32.260, , ,,,"(-73.46699524, 40.7964592):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.50416565, 40.72386169)", ,21.01000,26.420, , ,,,"(-73.50416565, 40.72386169):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.50639343, 40.73168564)", ,21.09000,27.650, , ,,,"(-73.50639343, 40.73168564):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.50782776, 40.75019836)", ,22.73000,29.490, , ,,,"(-73.50782776, 40.75019836):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.53679657, 40.70633316)", ,17.82000,21.450, , ,,,"(-73.53679657, 40.70633316):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.55124664, 40.68861008)", ,16.52000,20.250, , ,,,"(-73.55124664, 40.68861008):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.5592041, 40.77639771)", ,18.64000,25.420, , ,,,"(-73.5592041, 40.77639771):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.55936432, 40.77626038)", ,18.60000,25.310, , ,,,"(-73.55936432, 40.77626038):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.56130981, 40.72633362)", ,18.36000,22.590, , ,,,"(-73.56130981, 40.72633362):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.5746994, 40.7797699)", ,20.07000,28.890, , ,,,"(-73.5746994, 40.7797699):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.57524872, 40.62837982)", ,14.89000,21.420, , ,,,"(-73.57524872, 40.62837982):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.58348846, 40.67869949)", ,14.59000,18.770, , ,,,"(-73.58348846, 40.67869949):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.58701324, 40.64511871)", ,13.74000,18.230, , ,,,"(-73.58701324, 40.64511871):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.59088898, 40.81206512)", ,20.54000,31.700, , ,,,"(-73.59088898, 40.81206512): D2: (-73.99899292, 40.73648453)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.59247589, 40.76016998)","(-73.8126297, 40.71932602)",17.15000,24.020,7.57000,10.970,19.58000,24.010,Matched
"(-73.785924, 40.645134)","(-73.59269714, 40.67558289)","(-73.81136322, 40.70120621)",13.25000,18.630,5.82000,9.050,15.13500,23.820,Matched
"(-73.785924, 40.645134)","(-73.59876251, 40.66880798)","(-73.71291351, 40.63681412)",12.78000,17.040,7.18000,11.390,15.70000,18.860,Matched
"(-73.785924, 40.645134)","(-73.60163116, 40.71088791)","(-73.70587158, 40.63222122)",14.22000,19.000,8.56000,13.080,18.06000,22.050,Matched
"(-73.785924, 40.645134)","(-73.60258484, 40.73814011)", ,19.23000,22.470, , ,,,"(-73.60258484, 40.73814011):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6026535, 40.71641922)", ,14.35000,19.330, , ,,,"(-73.6026535, 40.71641922):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.60733795, 41.05075073)", ,37.07000,55.120, , ,,,"(-73.60733795, 41.05075073):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.60819244, 40.70044708)", ,14.19000,18.560, , ,,,"(-73.60819244, 40.70044708):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.60845947, 40.74168777)", ,16.52000,23.360, , ,,,"(-73.60845947, 40.74168777):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.60857391, 40.74171066)", ,16.52000,23.380, , ,,,"(-73.60857391, 40.74171066):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.61265564, 40.7833786)","(-73.86634827, 40.77128983)",17.56000,25.950,11.90000,16.780,24.87500,32.990,Matched
"(-73.785924, 40.645134)","(-73.6126709, 40.78338623)", ,17.56000,25.950, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.86634827, 40.77128983)']"
"(-73.785924, 40.645134)","(-73.61705017, 40.65373611)", ,11.31000,14.710, , ,,,"(-73.61705017, 40.65373611):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.61734009, 40.67178726)", ,12.16000,16.770, , ,,,"(-73.61734009, 40.67178726):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.61952972, 40.7933197)", ,17.56000,25.210, , ,,,"(-73.61952972, 40.7933197):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.62328339, 40.67127991)", ,11.51000,15.080, , ,,,"(-73.62328339, 40.67127991):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.62735748, 40.68213654)", ,11.56000,15.870, , ,,,"(-73.62735748, 40.68213654):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.62830353, 40.78616333)", ,17.17000,24.750, , ,,,"(-73.62830353, 40.78616333):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6295166, 40.71663666)", ,13.66000,18.040, , ,,,"(-73.6295166, 40.71663666):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6297226, 40.79448318)","(-73.8443985, 40.71084213)",18.07000,25.250,7.58000,11.360,20.20500,25.770,Matched
"(-73.785924, 40.645134)","(-73.6299057, 40.86255264)","(-73.81285095, 40.70559311)",23.24000,33.450,6.16000,8.850,22.88500,26.880,Matched
