source_coords,dest1_coords,dest2_coords,ret_angle,source_D1_distance(in miles),source_D1_time(in minutes),source_D1_avg_speed(per minute),original_cost$2,original_cost$2.5,original_cost$3,original_cost$4,original_accepted_delay,D1_D2_distance(in miles),D1_D2_time(in minutes),D1_D2_avg_speed(per minute),D1_D2_cost$2,D1_D2_cost$2.5,D1_D2_cost$3,D1_D2_cost$4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98949432, 40.75873184)",176.56,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.92,9.65,0.41,7.84,9.8,11.76,15.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97764587, 40.79149246)",159.04,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.94,13.52,0.44,11.88,14.850000000000001,17.82,23.76
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97097015, 40.7986145)",144.74,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.2,14.13,0.51,14.4,18.0,21.6,28.8
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.88526917, 40.6673584)",8.26,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,8.08,17.98,0.45,16.16,20.2,24.240000000000002,32.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95734406, 40.72034836)",88.61,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.86,7.64,0.37,5.72,7.1499999999999995,8.58,11.44
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.78156281, 40.64682007)",0.08,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,15.09,21.59,0.7,30.18,37.725,45.269999999999996,60.36
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.75610352, 40.65044022)",1.33,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,14.99,22.41,0.67,29.98,37.475,44.97,59.96
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00669861, 40.73366165)",166.81,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.7,13.47,0.35,9.4,11.75,14.100000000000001,18.8
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99721527, 40.7468338)",170.92,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.79,9.74,0.39,7.58,9.475,11.370000000000001,15.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00554657, 40.71425629)",160.59,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.35,15.95,0.34,10.7,13.375,16.049999999999997,21.4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00228882, 40.72962189)",165.03,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.66,13.21,0.35,9.32,11.65,13.98,18.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.91874695, 40.75797272)",13.64,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.54,6.73,0.38,5.08,6.35,7.62,10.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95516205, 40.76925278)",88.01,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.06,9.6,0.42,8.12,10.149999999999999,12.18,16.24
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.69634247, 40.6705246)",4.29,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,18.33,26.35,0.7,36.66,45.824999999999996,54.989999999999995,73.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95629883, 40.74177933)",78.57,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,0.93,3.17,0.29,1.86,2.325,2.79,3.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.91861725, 40.80635834)",32.56,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.75,13.21,0.59,15.5,19.375,23.25,31.0
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.83103943, 40.67811966)",0.31,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,9.93,18.55,0.54,19.86,24.825,29.79,39.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95198059, 40.71178055)",56.78,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.03,7.94,0.38,6.06,7.574999999999999,9.09,12.12
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00659943, 40.74064636)",168.99,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.61,11.78,0.39,9.22,11.525,13.830000000000002,18.44
