id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_latitude,pickup_longitude,ratecodeid,store_and_fwd_flag,dropoff_latitude,dropoff_longitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
9783,2,1/2/2016 12:24,1/2/2016 13:06,2,20.95,-73.77685547,40.64508438,2,N,-74.01080322,40.7048111,1,52,0,0.5,8,0,0.3,60.8
9784,1,1/2/2016 12:24,1/2/2016 12:58,1,17.9,-73.7802124,40.64561844,2,N,-73.98758698,40.72460938,2,52,0,0.5,0,5.54,0.3,58.34
9785,2,1/2/2016 12:24,1/2/2016 13:00,1,16.9,-73.79473114,40.64471817,2,N,-73.96846771,40.75492096,1,52,0,0.5,10.56,0,0.3,63.36
9786,1,1/2/2016 12:25,1/2/2016 13:00,1,17.8,-73.77670288,40.64537811,2,N,-73.98706055,40.74542618,1,52,0,0.5,8,5.54,0.3,66.34
9787,2,1/2/2016 12:25,1/2/2016 14:11,1,69.96,-73.7900238,40.64371109,4,N,-73.76796722,41.10599899,2,289,0,0.5,0,5.54,0.3,295.34
9788,2,1/2/2016 12:25,1/2/2016 13:06,1,17.94,-73.77689362,40.64500046,2,N,-73.94859314,40.77395248,1,52,0,0.5,10.56,0,0.3,63.36
9789,2,1/2/2016 12:25,1/2/2016 12:44,1,8.81,-73.78388977,40.64868164,4,N,-73.65789032,40.65659332,1,36.5,0,0.5,7.46,0,0.3,44.76
9790,1,1/2/2016 12:25,1/2/2016 13:00,1,18.5,-73.78224945,40.64457321,2,N,-73.94700623,40.78406906,1,52,0,0.5,6,5.54,0.3,64.34
9791,2,1/2/2016 12:25,1/2/2016 13:15,1,19.3,-73.78207397,40.64472198,2,N,-74.00545502,40.72776031,2,52,0,0.5,0,0,0.3,52.8
9792,1,1/2/2016 12:26,1/2/2016 12:35,1,4.2,-73.79094696,40.64660263,1,N,-73.79581451,40.67190933,2,14,0,0.5,0,0,0.3,14.8
9793,1,1/2/2016 12:26,1/2/2016 12:47,1,8.7,-73.78180695,40.64453125,1,N,-73.8571701,40.72471619,2,26,0,0.5,0,0,0.3,26.8
9794,1,1/2/2016 12:26,1/2/2016 13:03,1,19,-73.78868103,40.64249802,2,N,-73.99725342,40.75370407,2,52,0,0.5,0,5.54,0.3,58.34
9795,2,1/2/2016 12:26,1/2/2016 13:01,1,18.25,-73.7824173,40.64463806,2,N,-73.97427368,40.73177338,1,52,0,0.5,11.67,5.54,0.3,70.01
9796,1,1/2/2016 12:26,1/2/2016 12:59,2,17.9,-73.77681732,40.64506149,2,N,-73.97538757,40.75734711,2,52,0,0.5,0,5.54,0.3,58.34
9797,1,1/2/2016 12:26,1/2/2016 13:00,1,12.1,-73.78186035,40.64472961,1,N,-73.95888519,40.68300629,1,38,0,0.5,7.75,0,0.3,46.55
9798,2,1/2/2016 12:26,1/2/2016 13:18,1,20.36,-73.79003906,40.64390564,1,N,-73.9849472,40.68664551,2,60.5,0,0.5,0,0,0.3,61.3
9799,2,1/2/2016 12:26,1/2/2016 13:00,1,17.88,-73.77671814,40.64525986,2,N,-73.96977997,40.75291061,1,52,0,0.5,11.67,5.54,0.3,70.01
9800,2,1/2/2016 12:26,1/2/2016 12:56,1,17.18,-73.7822113,40.6446228,2,N,-73.97937012,40.74695206,1,52,0,0.5,11.67,5.54,0.3,70.01
9801,2,1/2/2016 12:26,1/2/2016 12:59,3,17.28,-73.77679443,40.64509201,2,N,-73.97280121,40.74670792,1,52,0,0.5,11.67,5.54,0.3,70.01
